language,glottocode,iso_639_3,dictionaries,total_entries,total_words,entries_with_audio,audio_hours,video_hours
Balti,balt1258,bft,1,46,67,3,0.00,0.00
Hindi,hind1269,hin,1,41,42,0,0.00,0.00
Eskaya,eska1234,esy,1,40,41,0,0.00,0.00
Muthuvan,muth1236,muv,1,40,44,40,0.01,0.00
Alu Kurumba,aluk1238,xua,1,35,38,35,0.02,0.00
Chittagonian,chit1275,ctg,1,32,33,0,0.00,0.00
Negerhollands,nege1244,dcr,1,32,32,0,0.00,0.00
Jaunsari,jaun1243,jns,1,31,33,0,0.00,0.00
Wehea,moda1244,mxd,1,27,44,0,0.00,0.00
Bezhta,bezh1248,kap,1,25,25,7,0.01,0.00
Sáliba,sali1298,slc,1,24,31,7,0.00,0.00
Bogotá Muisca (Măsc cuwun),chib1270,chb,1,23,45,0,0.00,0.00
Mapudungun,mapu1245,arn,1,20,20,20,0.01,0.00
Bhojpuri,bhoj1246,bho,1,19,23,0,0.00,0.00
Mehri,mehr1241,gdq,1,18,57,2,0.00,0.00
Äynu,ainu1251,aib,1,14,25,0,0.00,0.00
Taiwanese Hokkien,taib1242,nan,1,13,13,0,0.00,0.00
Igbo,nucl1417,ibo,1,12,26,6,0.00,0.00
Soryali,kuma1273,kfy,1,12,12,0,0.00,0.00
Zapoteco serrano,zap1437,zap,1,12,12,12,0.01,0.00
Ainu,ainu1240,ain,1,11,15,0,0.00,0.00
Uitoto,nucl1659,hto,1,10,10,10,0.00,0.00
Laz,lazz1240,lzz,1,7,28,2,0.00,0.00
Baleswari Odia,nort2660,ory,1,5,17,3,0.00,0.00
Ngaju,ngaj1237,nij,1,5,18,0,0.00,0.00
(unlisted tier — additional dictionaries not itemized at the communities' choice),,,397,232877,,,28.45,0.07
