dataset_id,language_code,languages_in_dataset,linguality,license,modalities,tasks,provenance,synthetic_flag,arxiv_ids,doi_ids,num_rows,matched_configurations,all_configurations,all_configurations_count,manual_review
mteb/biblenlp-corpus-mmteb,aai,aai;aak;aau;aaz;abt;abx;aby;acf;acr;acu;adz;aer;aey;agd;agg;agm;agn;agr;agt;agu;aia;aii;aka;ake;alp;alq;als;aly;ame;amf;amk;amm;amn;amo;amp;amr;amu;amx;anh;anv;aoi;aoj;aom;aon;apb;ape;apn;apr;apu;apw;apz;arb;are;arl;arn;arp;asm;aso;ata;atb;atd;atg;att;auc;aui;auy;avt;awb;awk;awx;azb;azg;azz;bao;bba;bbb;bbr;bch;bco;bdd;bea;bef;bel;ben;beo;beu;bgs;bgt;bhg;bhl;big;bjk;bjp;bjr;bjv;bjz;bkd;bki;bkq;bkx;blw;blz;bmh;bmk;bmr;bmu;bnp;boa;boj;bon;box;bpr;bps;bqc;bqp;bre;bsj;bsn;bsp;bss;buk;bus;bvd;bvr;bxh;byr;byx;bzd;bzh;bzj;caa;cab;cac;caf;cak;cao;cap;car;cav;cax;cbc;cbi;cbk;cbr;cbs;cbt;cbu;cbv;cco;ceb;cek;ces;cgc;cha;chd;chf;chk;chq;chz;cjo;cjv;ckb;cle;clu;cme;cmn;cni;cnl;cnt;cof;con;cop;cot;cpa;cpb;cpc;cpu;cpy;crn;crx;cso;csy;cta;cth;ctp;ctu;cub;cuc;cui;cuk;cut;cux;cwe;cya;daa;dad;dah;dan;ded;deu;dgc;dgr;dgz;dhg;dif;dik;dji;djk;djr;dob;dop;dov;dwr;dww;dwy;ebk;eko;emi;emp;eng;enq;epo;eri;ese;esk;etr;ewe;faa;fai;far;ffm;for;fra;fue;fuf;fuh;gah;gai;gam;gaw;gdn;gdr;geb;gfk;ghs;glk;gmv;gng;gnn;gnw;gof;grc;gub;guh;gui;guj;gul;gum;gun;guo;gup;gux;gvc;gvf;gvn;gvs;gwi;gym;gyr;hat;hau;haw;hbo;hch;heb;heg;hin;hix;hla;hlt;hmo;hns;hop;hot;hrv;hto;hub;hui;hun;hus;huu;huv;hvn;ian;ign;ikk;ikw;ilo;imo;inb;ind;ino;iou;ipi;isn;ita;iws;ixl;jac;jae;jao;jic;jid;jiv;jni;jpn;jvn;kan;kaq;kbc;kbh;kbm;kbq;kdc;kde;kdl;kek;ken;kew;kgf;kgk;kgp;khs;khz;kik;kiw;kiz;kje;kjs;kkc;kkl;klt;klv;kmg;kmh;kmk;kmo;kms;kmu;kne;knf;knj;knv;kos;kpf;kpg;kpj;kpr;kpw;kpx;kqa;kqc;kqf;kql;kqw;ksd;ksj;ksr;ktm;kto;kud;kue;kup;kvg;kvn;kwd;kwf;kwi;kwj;kyc;kyf;kyg;kyq;kyz;kze;lac;lat;lbb;lbk;lcm;leu;lex;lgl;lid;lif;lin;lit;llg;lug;luo;lww;maa;maj;mal;mam;maq;mar;mau;mav;maz;mbb;mbc;mbh;mbj;mbl;mbs;mbt;mca;mcb;mcd;mcf;mco;mcp;mcq;mcr;mdy;med;mee;mek;meq;met;meu;mgc;mgh;mgw;mhl;mib;mic;mie;mig;mih;mil;mio;mir;mit;miz;mjc;mkj;mkl;mkn;mks;mle;mlh;mlp;mmo;mmx;mna;mop;mox;mph;mpj;mpm;mpp;mps;mpt;mpx;mqb;mqj;msb;msc;msk;msm;msy;mti;mto;mux;muy;mva;mvn;mwc;mwe;mwf;mwp;mxb;mxp;mxq;mxt;mya;myk;myu;myw;myy;mzz;nab;naf;nak;nas;nbq;nca;nch;ncj;ncl;ncu;ndg;ndj;nfa;ngp;ngu;nhe;nhg;nhi;nho;nhr;nhu;nhw;nhy;nif;nii;nin;nko;nld;nlg;nna;nnq;noa;nop;not;nou;npi;npl;nsn;nss;ntj;ntp;ntu;nuy;nvm;nwi;nya;nys;nyu;obo;okv;omw;ong;ons;ood;opm;ory;ote;otm;otn;otq;ots;pab;pad;pah;pan;pao;pes;pib;pio;pir;piu;pjt;pls;plu;pma;poe;poh;poi;pol;pon;por;poy;ppo;prf;pri;ptp;ptu;pwg;qub;quc;quf;quh;qul;qup;qvc;qve;qvh;qvm;qvn;qvs;qvw;qvz;qwh;qxh;qxn;qxo;rai;reg;rgu;rkb;rmc;rmy;ron;roo;rop;row;rro;ruf;rug;rus;rwo;sab;san;sbe;sbk;sbs;seh;sey;sgb;sgz;shj;shp;sim;sja;sll;smk;snc;snn;snp;snx;sny;som;soq;soy;spa;spl;spm;spp;sps;spy;sri;srm;srn;srp;srq;ssd;ssg;ssx;stp;sua;sue;sus;suz;swe;swh;swp;sxb;tac;taj;tam;tav;taw;tbc;tbf;tbg;tbo;tbz;tca;tcs;tcz;tdt;tee;tel;ter;tet;tew;tfr;tgk;tgl;tgo;tgp;tha;tif;tim;tiw;tiy;tke;tku;tlf;tmd;tna;tnc;tnk;tnn;tnp;toc;tod;tof;toj;ton;too;top;tos;tpa;tpi;tpt;tpz;trc;tsw;ttc;tte;tuc;tue;tuf;tuo;tur;tvk;twi;txq;txu;tzj;tzo;ubr;ubu;udu;uig;ukr;uli;ulk;upv;ura;urb;urd;uri;urt;urw;usa;usp;uvh;uvl;vid;vie;viv;vmy;waj;wal;wap;wat;wbi;wbp;wed;wer;wim;wiu;wiv;wmt;wmw;wnc;wnu;wol;wos;wrk;wro;wrs;wsk;wuv;xav;xbi;xed;xla;xnn;xon;xsi;xtd;xtm;yaa;yad;yal;yap;yaq;yby;ycn;yka;yle;yml;yon;yor;yrb;yre;yss;yuj;yut;yuw;yva;zaa;zab;zac;zad;zai;zaj;zam;zao;zap;zar;zas;zat;zav;zaw;zca;zga;zia;ziw;zlm;zos;zpc;zpl;zpm;zpo;zpq;zpu;zpv;zpz;zsr;ztq;zty;zyp,multilingual,cc-by-sa-4.0,text,translation,machine_generated,True,2304.09919;2502.13595;2210.07316,,901,eng_Latn-aai_Latn,default;eng_Latn-zac_Latn;eng_Latn-lit_Latn;eng_Latn-cgc_Latn;eng_Latn-guh_Latn;eng_Latn-ckb_Arab;eng_Latn-cop_Copt;eng_Latn-lif_Deva;eng_Latn-cwe_Latn;eng_Latn-kwj_Latn;eng_Latn-srp_Latn;eng_Latn-qvn_Latn;eng_Latn-tsw_Latn;eng_Latn-wro_Latn;eng_Latn-tod_Latn;eng_Latn-bco_Latn;eng_Latn-ikk_Latn;eng_Latn-tna_Latn;eng_Latn-swp_Latn;eng_Latn-agm_Latn ...(829 total),829,
mteb/biblenlp-corpus-mmteb,aak,aai;aak;aau;aaz;abt;abx;aby;acf;acr;acu;adz;aer;aey;agd;agg;agm;agn;agr;agt;agu;aia;aii;aka;ake;alp;alq;als;aly;ame;amf;amk;amm;amn;amo;amp;amr;amu;amx;anh;anv;aoi;aoj;aom;aon;apb;ape;apn;apr;apu;apw;apz;arb;are;arl;arn;arp;asm;aso;ata;atb;atd;atg;att;auc;aui;auy;avt;awb;awk;awx;azb;azg;azz;bao;bba;bbb;bbr;bch;bco;bdd;bea;bef;bel;ben;beo;beu;bgs;bgt;bhg;bhl;big;bjk;bjp;bjr;bjv;bjz;bkd;bki;bkq;bkx;blw;blz;bmh;bmk;bmr;bmu;bnp;boa;boj;bon;box;bpr;bps;bqc;bqp;bre;bsj;bsn;bsp;bss;buk;bus;bvd;bvr;bxh;byr;byx;bzd;bzh;bzj;caa;cab;cac;caf;cak;cao;cap;car;cav;cax;cbc;cbi;cbk;cbr;cbs;cbt;cbu;cbv;cco;ceb;cek;ces;cgc;cha;chd;chf;chk;chq;chz;cjo;cjv;ckb;cle;clu;cme;cmn;cni;cnl;cnt;cof;con;cop;cot;cpa;cpb;cpc;cpu;cpy;crn;crx;cso;csy;cta;cth;ctp;ctu;cub;cuc;cui;cuk;cut;cux;cwe;cya;daa;dad;dah;dan;ded;deu;dgc;dgr;dgz;dhg;dif;dik;dji;djk;djr;dob;dop;dov;dwr;dww;dwy;ebk;eko;emi;emp;eng;enq;epo;eri;ese;esk;etr;ewe;faa;fai;far;ffm;for;fra;fue;fuf;fuh;gah;gai;gam;gaw;gdn;gdr;geb;gfk;ghs;glk;gmv;gng;gnn;gnw;gof;grc;gub;guh;gui;guj;gul;gum;gun;guo;gup;gux;gvc;gvf;gvn;gvs;gwi;gym;gyr;hat;hau;haw;hbo;hch;heb;heg;hin;hix;hla;hlt;hmo;hns;hop;hot;hrv;hto;hub;hui;hun;hus;huu;huv;hvn;ian;ign;ikk;ikw;ilo;imo;inb;ind;ino;iou;ipi;isn;ita;iws;ixl;jac;jae;jao;jic;jid;jiv;jni;jpn;jvn;kan;kaq;kbc;kbh;kbm;kbq;kdc;kde;kdl;kek;ken;kew;kgf;kgk;kgp;khs;khz;kik;kiw;kiz;kje;kjs;kkc;kkl;klt;klv;kmg;kmh;kmk;kmo;kms;kmu;kne;knf;knj;knv;kos;kpf;kpg;kpj;kpr;kpw;kpx;kqa;kqc;kqf;kql;kqw;ksd;ksj;ksr;ktm;kto;kud;kue;kup;kvg;kvn;kwd;kwf;kwi;kwj;kyc;kyf;kyg;kyq;kyz;kze;lac;lat;lbb;lbk;lcm;leu;lex;lgl;lid;lif;lin;lit;llg;lug;luo;lww;maa;maj;mal;mam;maq;mar;mau;mav;maz;mbb;mbc;mbh;mbj;mbl;mbs;mbt;mca;mcb;mcd;mcf;mco;mcp;mcq;mcr;mdy;med;mee;mek;meq;met;meu;mgc;mgh;mgw;mhl;mib;mic;mie;mig;mih;mil;mio;mir;mit;miz;mjc;mkj;mkl;mkn;mks;mle;mlh;mlp;mmo;mmx;mna;mop;mox;mph;mpj;mpm;mpp;mps;mpt;mpx;mqb;mqj;msb;msc;msk;msm;msy;mti;mto;mux;muy;mva;mvn;mwc;mwe;mwf;mwp;mxb;mxp;mxq;mxt;mya;myk;myu;myw;myy;mzz;nab;naf;nak;nas;nbq;nca;nch;ncj;ncl;ncu;ndg;ndj;nfa;ngp;ngu;nhe;nhg;nhi;nho;nhr;nhu;nhw;nhy;nif;nii;nin;nko;nld;nlg;nna;nnq;noa;nop;not;nou;npi;npl;nsn;nss;ntj;ntp;ntu;nuy;nvm;nwi;nya;nys;nyu;obo;okv;omw;ong;ons;ood;opm;ory;ote;otm;otn;otq;ots;pab;pad;pah;pan;pao;pes;pib;pio;pir;piu;pjt;pls;plu;pma;poe;poh;poi;pol;pon;por;poy;ppo;prf;pri;ptp;ptu;pwg;qub;quc;quf;quh;qul;qup;qvc;qve;qvh;qvm;qvn;qvs;qvw;qvz;qwh;qxh;qxn;qxo;rai;reg;rgu;rkb;rmc;rmy;ron;roo;rop;row;rro;ruf;rug;rus;rwo;sab;san;sbe;sbk;sbs;seh;sey;sgb;sgz;shj;shp;sim;sja;sll;smk;snc;snn;snp;snx;sny;som;soq;soy;spa;spl;spm;spp;sps;spy;sri;srm;srn;srp;srq;ssd;ssg;ssx;stp;sua;sue;sus;suz;swe;swh;swp;sxb;tac;taj;tam;tav;taw;tbc;tbf;tbg;tbo;tbz;tca;tcs;tcz;tdt;tee;tel;ter;tet;tew;tfr;tgk;tgl;tgo;tgp;tha;tif;tim;tiw;tiy;tke;tku;tlf;tmd;tna;tnc;tnk;tnn;tnp;toc;tod;tof;toj;ton;too;top;tos;tpa;tpi;tpt;tpz;trc;tsw;ttc;tte;tuc;tue;tuf;tuo;tur;tvk;twi;txq;txu;tzj;tzo;ubr;ubu;udu;uig;ukr;uli;ulk;upv;ura;urb;urd;uri;urt;urw;usa;usp;uvh;uvl;vid;vie;viv;vmy;waj;wal;wap;wat;wbi;wbp;wed;wer;wim;wiu;wiv;wmt;wmw;wnc;wnu;wol;wos;wrk;wro;wrs;wsk;wuv;xav;xbi;xed;xla;xnn;xon;xsi;xtd;xtm;yaa;yad;yal;yap;yaq;yby;ycn;yka;yle;yml;yon;yor;yrb;yre;yss;yuj;yut;yuw;yva;zaa;zab;zac;zad;zai;zaj;zam;zao;zap;zar;zas;zat;zav;zaw;zca;zga;zia;ziw;zlm;zos;zpc;zpl;zpm;zpo;zpq;zpu;zpv;zpz;zsr;ztq;zty;zyp,multilingual,cc-by-sa-4.0,text,translation,machine_generated,True,2304.09919;2502.13595;2210.07316,,939,eng_Latn-aak_Arab,default;eng_Latn-zac_Latn;eng_Latn-lit_Latn;eng_Latn-cgc_Latn;eng_Latn-guh_Latn;eng_Latn-ckb_Arab;eng_Latn-cop_Copt;eng_Latn-lif_Deva;eng_Latn-cwe_Latn;eng_Latn-kwj_Latn;eng_Latn-srp_Latn;eng_Latn-qvn_Latn;eng_Latn-tsw_Latn;eng_Latn-wro_Latn;eng_Latn-tod_Latn;eng_Latn-bco_Latn;eng_Latn-ikk_Latn;eng_Latn-tna_Latn;eng_Latn-swp_Latn;eng_Latn-agm_Latn ...(829 total),829,
Tamazight-NLP/Weblate-Translations,aa,aa;ab;abr;ace;ach;ady;ae;aeb;af;afh;aii;ain;ajp;ak;ale;am;an;ang;anp;apc;apd;ar;arc;arn;arq;ars;art;arz;as;ast;av;awa;ay;az;azb;ba;ban;bar;bci;be;bem;ber;bez;bg;bh;bho;bi;bm;bn;bnt;bo;bp;bqi;br;brh;brx;bs;by;byn;ca;cat;ce;ceb;ch;chk;chn;chr;ckb;cmn;cn;cnr;co;cop;cpe;cpp;cr;crh;cs;csb;cu;cv;cy;cz;da;de;del;dev;dk;doi;dsb;du;dua;dum;dv;dz;ee;egy;el;en;enm;eo;es;et;eu;ext;fa;ff;fi;fil;fj;fo;fon;fr;frc;frm;fro;frp;frr;frs;fu;fur;fy;ga;gay;gd;gez;gl;glk;gmh;gn;got;grc;gsw;gu;guc;gug;gum;guw;gv;gwi;ha;hak;haw;he;hi;hne;ho;hr;hrx;hsb;hsn;ht;hu;hy;hz;ia;iap;iba;id;ie;ig;ii;ik;in;io;is;isv;it;iu;iw;ja;jam;jbo;ji;jp;jrb;jv;ka;kab;kg;ki;kj;kk;kl;km;kmr;kn;ko;kok;kr;krl;ks;ksh;ku;kv;kw;kxm;ky;la;lb;lfn;lg;li;lir;lmo;ln;lo;lt;ltg;lu;lv;lzh;mai;mdr;me;mfa;mfe;mg;mh;mhr;mi;mia;min;mjw;mk;ml;mn;mnc;mni;mnw;mo;mr;mrh;ms;mt;my;na;nah;nan;nap;nb;nd;nds;ne;ng;nl;nn;no;nod;np;nqo;nr;nso;nv;ny;oc;oj;om;or;os;ota;otk;pa;pam;pap;pbb;pdt;peo;pi;pia;pl;pms;pon;pr;prg;prs;ps;pt;pu;qpv;qu;qya;rcf;rm;rn;ro;rom;rpa;rs;ru;rue;rup;rw;ryu;sa;sah;sai;saq;sat;sc;sco;sd;sdh;se;sf;sg;sgn;sgs;shn;si;sk;skr;sl;sm;sma;sn;so;son;sq;sr;ss;ssy;st;su;sus;sv;sw;szl;ta;tam;te;tet;tg;th;ti;tia;tig;tk;tl;tlh;tn;to;tok;tr;trv;ts;tt;tts;tum;tw;ty;tzm;ua;udm;ug;uk;und;ur;uz;ve;vec;vi;vls;vn;vo;wa;wae;wal;wep;wo;xh;yi;yo;yua;yue;za;zgh;zh;zu;zun,multilingual,other,modality_unstated,translation;text-generation,machine_generated,True,,,1506,en-aa,_asterisk-ca_ES;_asterisk-cs_CZ;_asterisk-de_DE;_asterisk-en_US;_asterisk-eo_XX;_asterisk-es_ES;_asterisk-et_EE;_asterisk-fr_FR;_asterisk-hu_HU;_asterisk-id_ID;_asterisk-it_IT;_asterisk-kab;_asterisk-nb_NO;_asterisk-nl_NL;_asterisk-pl_PL;_asterisk-pt_BR;_asterisk-pt_PT;_asterisk-ro_RO;_asterisk-ru_RU;_asterisk-uk_UA ...(1987 total),1987,
ayymen/Weblate-Translations,aa,aa;ab;ace;ach;af;afh;aii;ain;ajp;ak;am;an;ang;anp;apc;ar;arn;ars;as;ast;ay;ayc;az;azb;ba;bar;bd;be;bem;ber;bg;bho;bm;bn;bo;bp;bqi;br;brx;bs;bul;by;ca;ce;ceb;ckb;cmn;cn;cnr;co;cr;crh;cs;csb;cv;cy;cz;da;de;dev;doi;dsb;dua;dum;dv;dz;eg;el;en;eng;enm;eo;es;et;eu;ext;fa;fi;fil;fo;fr;fra;frm;frp;frs;fu;fur;fy;ga;gb;gd;gl;glk;gmh;gn;gr;gsw;gu;guc;gug;gum;guw;gv;ha;haw;he;hi;hne;hr;hrx;hsb;ht;hu;hy;hz;ia;id;ie;ig;in;io;is;it;iw;ja;jam;jbo;ji;jp;jpn;jv;ka;kab;kg;kk;kl;km;kmr;kn;ko;kok;kr;krl;ks;ksh;ku;kw;ky;la;lb;lfn;lg;li;lk;ln;lo;lt;ltg;lv;lzh;mai;me;mg;mhr;mi;mjw;mk;ml;mn;mnc;mni;mnw;mo;mr;ms;mt;my;na;nah;nan;nap;nb;nds;ne;nl;nn;no;np;nqo;ny;oc;oj;om;or;os;ota;pa;pam;pap;pbb;peo;pk;pl;pms;pr;prg;ps;pt;pu;qt;rcf;rm;ro;rom;ru;rue;rw;ryu;sa;sah;sai;sat;sc;sco;sd;sdh;se;sh;shn;si;sk;skr;sl;sm;sma;sn;so;sq;sr;st;su;sv;sw;szl;ta;tam;te;tet;tg;th;ti;tk;tl;tlh;tn;to;tok;tr;trv;tt;tum;tw;ty;tzm;ua;udm;ug;uk;und;ur;us;uz;vec;vi;vls;wa;wae;wo;xh;yi;yo;yue;zgh;zh;zu,multilingual,other,text,translation,machine_generated,True,,,1296,en-aa,en-lk;en-en-rAU;en-hy-rAM;en-qt;en-se;en-en_AU;en-in;en_US-id;en-ajp;en-en_US_rude;en_GB-sw;en_GB-tzm;dev-pt;de-nb_NO;en_devel-bn_BD;messages-fr;en-de-CH;en-gu_IN;en-be_BY;eo-sk ...(1480 total),1480,
