dataset_id,language_code,languages_in_dataset,linguality,license,modalities,tasks,provenance,synthetic_flag,arxiv_ids,doi_ids,num_examples,matched_configurations,all_configurations,all_configurations_count,manual_review
Tamazight-NLP/Weblate-Translations,aa,aa;ab;abr;ace;ach;ady;ae;aeb;af;afh;aii;ain;ajp;ak;ale;am;an;ang;anp;apc;apd;ar;arc;arn;arq;ars;art;arz;as;ast;av;awa;ay;az;azb;ba;ban;bar;bci;be;bem;ber;bez;bg;bh;bho;bi;bm;bn;bnt;bo;bp;bqi;br;brh;brx;bs;by;byn;ca;cat;ce;ceb;ch;chk;chn;chr;ckb;cmn;cn;cnr;co;cop;cpe;cpp;cr;crh;cs;csb;cu;cv;cy;cz;da;de;del;dev;dk;doi;dsb;du;dua;dum;dv;dz;ee;egy;el;en;enm;eo;es;et;eu;ext;fa;ff;fi;fil;fj;fo;fon;fr;frc;frm;fro;frp;frr;frs;fu;fur;fy;ga;gay;gd;gez;gl;glk;gmh;gn;got;grc;gsw;gu;guc;gug;gum;guw;gv;gwi;ha;hak;haw;he;hi;hne;ho;hr;hrx;hsb;hsn;ht;hu;hy;hz;ia;iap;iba;id;ie;ig;ii;ik;in;io;is;isv;it;iu;iw;ja;jam;jbo;ji;jp;jrb;jv;ka;kab;kg;ki;kj;kk;kl;km;kmr;kn;ko;kok;kr;krl;ks;ksh;ku;kv;kw;kxm;ky;la;lb;lfn;lg;li;lir;lmo;ln;lo;lt;ltg;lu;lv;lzh;mai;mdr;me;mfa;mfe;mg;mh;mhr;mi;mia;min;mjw;mk;ml;mn;mnc;mni;mnw;mo;mr;mrh;ms;mt;my;na;nah;nan;nap;nb;nd;nds;ne;ng;nl;nn;no;nod;np;nqo;nr;nso;nv;ny;oc;oj;om;or;os;ota;otk;pa;pam;pap;pbb;pdt;peo;pi;pia;pl;pms;pon;pr;prg;prs;ps;pt;pu;qpv;qu;qya;rcf;rm;rn;ro;rom;rpa;rs;ru;rue;rup;rw;ryu;sa;sah;sai;saq;sat;sc;sco;sd;sdh;se;sf;sg;sgn;sgs;shn;si;sk;skr;sl;sm;sma;sn;so;son;sq;sr;ss;ssy;st;su;sus;sv;sw;szl;ta;tam;te;tet;tg;th;ti;tia;tig;tk;tl;tlh;tn;to;tok;tr;trv;ts;tt;tts;tum;tw;ty;tzm;ua;udm;ug;uk;und;ur;uz;ve;vec;vi;vls;vn;vo;wa;wae;wal;wep;wo;xh;yi;yo;yua;yue;za;zgh;zh;zu;zun,multilingual,other,modality_unstated,translation;text-generation,machine_generated,True,,,1506,en-aa,_asterisk-ca_ES;_asterisk-cs_CZ;_asterisk-de_DE;_asterisk-en_US;_asterisk-eo_XX;_asterisk-es_ES;_asterisk-et_EE;_asterisk-fr_FR;_asterisk-hu_HU;_asterisk-id_ID;_asterisk-it_IT;_asterisk-kab;_asterisk-nb_NO;_asterisk-nl_NL;_asterisk-pl_PL;_asterisk-pt_BR;_asterisk-pt_PT;_asterisk-ro_RO;_asterisk-ru_RU;_asterisk-uk_UA ...(1987 total),1987,
ayymen/Weblate-Translations,aa,aa;ab;ace;ach;af;afh;aii;ain;ajp;ak;am;an;ang;anp;apc;ar;arn;ars;as;ast;ay;ayc;az;azb;ba;bar;bd;be;bem;ber;bg;bho;bm;bn;bo;bp;bqi;br;brx;bs;bul;by;ca;ce;ceb;ckb;cmn;cn;cnr;co;cr;crh;cs;csb;cv;cy;cz;da;de;dev;doi;dsb;dua;dum;dv;dz;eg;el;en;eng;enm;eo;es;et;eu;ext;fa;fi;fil;fo;fr;fra;frm;frp;frs;fu;fur;fy;ga;gb;gd;gl;glk;gmh;gn;gr;gsw;gu;guc;gug;gum;guw;gv;ha;haw;he;hi;hne;hr;hrx;hsb;ht;hu;hy;hz;ia;id;ie;ig;in;io;is;it;iw;ja;jam;jbo;ji;jp;jpn;jv;ka;kab;kg;kk;kl;km;kmr;kn;ko;kok;kr;krl;ks;ksh;ku;kw;ky;la;lb;lfn;lg;li;lk;ln;lo;lt;ltg;lv;lzh;mai;me;mg;mhr;mi;mjw;mk;ml;mn;mnc;mni;mnw;mo;mr;ms;mt;my;na;nah;nan;nap;nb;nds;ne;nl;nn;no;np;nqo;ny;oc;oj;om;or;os;ota;pa;pam;pap;pbb;peo;pk;pl;pms;pr;prg;ps;pt;pu;qt;rcf;rm;ro;rom;ru;rue;rw;ryu;sa;sah;sai;sat;sc;sco;sd;sdh;se;sh;shn;si;sk;skr;sl;sm;sma;sn;so;sq;sr;st;su;sv;sw;szl;ta;tam;te;tet;tg;th;ti;tk;tl;tlh;tn;to;tok;tr;trv;tt;tum;tw;ty;tzm;ua;udm;ug;uk;und;ur;us;uz;vec;vi;vls;wa;wae;wo;xh;yi;yo;yue;zgh;zh;zu,multilingual,other,text,translation,machine_generated,True,,,1296,en-aa,en-lk;en-en-rAU;en-hy-rAM;en-qt;en-se;en-en_AU;en-in;en_US-id;en-ajp;en-en_US_rude;en_GB-sw;en_GB-tzm;dev-pt;de-nb_NO;en_devel-bn_BD;messages-fr;en-de-CH;en-gu_IN;en-be_BY;eo-sk ...(1480 total),1480,
