dataset_id,language_queried,num_languages_in_dataset,linguality,multilinguality_tag,modality,modality_method,license,total_size_bytes,total_size_method,text_size_bytes,text_size_method,dataset_total_size_bytes,dataset_total_size_method,provenance,publication_link,synthetic_flag,needs_review,retrieval_method
lbourdois/language_tags,fmp,7909,multilingual,type_unstated,text,from_tag,cc-by-4.0,,size_unknown_no_language_split_in_multilingual_dataset,,size_unknown_no_language_split_in_multilingual_dataset,1297801,exact_full_dataset_all_languages_all_modalities,human-generated,,False,False,huggingface_hub_api
lbourdois/panlex,fmp,6152,multilingual,type_unstated,text,from_tag,cc0-1.0,,size_unknown_no_language_split_in_multilingual_dataset,,size_unknown_no_language_split_in_multilingual_dataset,1276424331,exact_full_dataset_all_languages_all_modalities,provenance_unknown,,False,True,huggingface_hub_api
cointegrated/panlex-meanings,fmp,1012,multilingual,type_unstated,tabular;text,from_tag,cc0-1.0,69882.0,exact_from_siblings_multilingual_split,69882.0,exact_from_siblings_multilingual_split,4310810522,exact_full_dataset_all_languages_all_modalities,provenance_unknown,,False,True,huggingface_hub_api
OlameMend/soreva,fmp,48,multilingual,type_unstated,text;audio,inferred_from_file_extension,cc-by-4.0,8792197.0,exact_from_siblings_multilingual_split,7912.0,exact_from_siblings_multilingual_split,402909516,exact_full_dataset_all_languages_all_modalities,provenance_unknown,,False,True,huggingface_hub_api
ec5ug/chikhapo,fmp,2752,multilingual,type_unstated,text,inferred_from_file_extension,mit,61878.0,exact_from_siblings_multilingual_split,61878.0,exact_from_siblings_multilingual_split,6756730192,exact_full_dataset_all_languages_all_modalities,provenance_unknown,https://arxiv.org/abs/2510.16928,False,True,huggingface_hub_api
gtak1/panlex-meanings,fmp,1012,multilingual,type_unstated,tabular;text,from_tag,cc0-1.0,69882.0,exact_from_siblings_multilingual_split,69882.0,exact_from_siblings_multilingual_split,4310810522,exact_full_dataset_all_languages_all_modalities,provenance_unknown,,False,True,huggingface_hub_api
