extension,unit,sample_size,bytes_per_unit_mean,bytes_per_unit_median,sample_file_urls
.jsonl,rows,30,2757.422345564587,1643.85141271443,openbmb/DCAD-2000/aaa_Latn/mala_000001_keep.jsonl;openbmb/DCAD-2000/aaa_Latn/mala_000001_stas.jsonl;openbmb/DCAD-2000/aai_Latn/fineweb-2_000001_keep.jsonl;openbmb/DCAD-2000/aai_Latn/fineweb-2_000001_remove.jsonl;openbmb/DCAD-2000/aai_Latn/fineweb-2_000001_stas.jsonl;openbmb/DCAD-2000/aak_Latn/fineweb-2_000001_keep.jsonl;openbmb/DCAD-2000/aak_Latn/fineweb-2_000001_remove.jsonl;openbmb/DCAD-2000/aak_Latn/fineweb-2_000001_stas.jsonl;openbmb/DCAD-2000/aau_Latn/fineweb-2_000001_keep.jsonl;openbmb/DCAD-2000/aau_Latn/fineweb-2_000001_remove.jsonl
.csv,rows,30,354.72687104463984,335.2766964285714,lbourdois/language_tags/train.csv;HuggingFaceFW/fineweb-2/eval_results/eval_score_ar.csv;HuggingFaceFW/fineweb-2/eval_results/eval_score_ar_norm.csv;HuggingFaceFW/fineweb-2/eval_results/eval_score_fr.csv;HuggingFaceFW/fineweb-2/eval_results/eval_score_fr_norm.csv;HuggingFaceFW/fineweb-2/eval_results/eval_score_hi.csv;HuggingFaceFW/fineweb-2/eval_results/eval_score_hi_norm.csv;HuggingFaceFW/fineweb-2/eval_results/eval_score_ru.csv;HuggingFaceFW/fineweb-2/eval_results/eval_score_ru_norm.csv;HuggingFaceFW/fineweb-2/eval_results/eval_score_sw.csv
.txt,words,30,5.722585618074393,5.400246305418719,davidstap/biblenlp-corpus-mmteb/data/eng-kde/kde/test.eng.txt;davidstap/biblenlp-corpus-mmteb/data/eng-kde/kde/test.kde.txt;davidstap/biblenlp-corpus-mmteb/data/eng-kde/kde/train.eng.txt;davidstap/biblenlp-corpus-mmteb/data/eng-kde/kde/train.kde.txt;davidstap/biblenlp-corpus-mmteb/data/eng-kde/kde/validation.eng.txt;davidstap/biblenlp-corpus-mmteb/data/eng-kde/kde/validation.kde.txt;davidstap/biblenlp-corpus-mmteb/data/eng-kdl/kdl/test.eng.txt;davidstap/biblenlp-corpus-mmteb/data/eng-kdl/kdl/test.kdl.txt;davidstap/biblenlp-corpus-mmteb/data/eng-kdl/kdl/train.eng.txt;davidstap/biblenlp-corpus-mmteb/data/eng-kdl/kdl/train.kdl.txt
