dataset_id,parquet_convertible,status_code,partial,partial_split_names_seen,num_shards
JourneyDB/JourneyDB,,401,,,
seanghay/khmer_grkpp_speech,True,200,False,,2.0
jinmang2/ucf_crime,,500,,,
TMZN/baidubaike,True,200,False,,1.0
SillyL12324/girls,True,200,False,,54.0
zai-org/webglm-qa,True,200,False,,3.0
FreedomIntelligence/CMB,True,200,False,,1.0
0xDing/wikipedia-cn-20230720-filtered,True,200,False,,1.0
dimanchkek/Deepfacelive-DFM-Models,,500,,,
izumi-lab/wikipedia-ja-20230720,True,200,False,,8.0
OleehyO/latex-formulas,True,200,False,,7.0
joey00072/TinyStories-SFT,True,200,False,,5.0
docling-project/PubTables-1M_OTSL,True,200,False,,323.0
totally-not-an-llm/EverythingLM-data-V2,True,200,False,,1.0
nascetti-a/BioMassters,,500,,,
AhmedSSabir/Gulf-Arabic-Tweets-2018-2020,True,200,False,,1.0
allenai/objaverse-xl,False,501,,,
ProgramComputer/voxceleb,False,501,,,
malaysia-ai/pretrain-text-dataset,False,501,,,
nojiyoon/shilla-clothing-text-and-image-dataset,True,200,False,,1.0
OpenDriveLab/DriveLM,,401,,,
bitext/Bitext-customer-support-llm-chatbot-training-dataset,True,200,False,,1.0
VatsaDev/NanoChatGPT,True,200,False,,2.0
xuqinyang/BaiduBaike-5.63M,True,200,True,,10.0
bstee615/bigvul,True,200,False,,3.0
allenai/MADLAD-400,,500,,,
Maxx0/sexting-nsfw-adultconten,True,200,False,,1.0
uonlp/CulturaX,,401,,,
cmaldona/Generalization-MultiClass-CLINC150-ROSTD,True,200,False,,6.0
mirzaei2114/stackoverflowVQA-filtered-small,True,200,False,,4.0
euirim/goodwiki,True,200,False,,1.0
AdaptLLM/finance-tasks,True,200,False,,5.0
AdaptLLM/law-tasks,True,200,False,,3.0
mychen76/wildreceipts_ocr_eval,True,200,False,,1.0
AlekseyKorshuk/PIPPA-lmgym-old,True,200,False,,72.0
glaiveai/glaive-code-assistant,True,200,False,,1.0
mozci/logobookDB,True,200,False,,1.0
clam004/antihallucination_dataset,True,200,False,,1.0
mindchain/wikitext2,,500,,,
neural-bridge/rag-dataset-12000,True,200,False,,2.0
umarigan/turkish_corpus,True,200,False,,126.0
apf1/datafilteringnetworks_2b,,500,,,
AiresPucrs/chest-xray,True,200,False,,2.0
a686d380/h-corpus-raw,False,501,,,
CherryDurian/shadow-alignment,True,200,False,,3.0
osunlp/TableInstruct,True,200,False,,0.0
EleutherAI/proof-pile-2,False,501,,,
xu3kev/BIRD-SQL-data-train,True,200,False,,1.0
distil-whisper/earnings22,True,200,False,,40.0
yufan/SFT_Chinese_General,True,200,False,,4.0
AI4Math/MathVista,True,200,False,,3.0
jxu124/OpenX-Embodiment,False,501,,,
WeixiangYan/CodeTransOcean,True,200,False,,0.0
togethercomputer/RedPajama-Data-V2,False,501,,,
lmsys/toxic-chat,True,200,False,,4.0
andreped/AeroPath,False,501,,,
ai4privacy/pii-masking-200k,True,200,False,,1.0
justinphan3110/harmful_harmless_instructions,True,200,False,,2.0
creative-graphic-design/Rico,True,200,False,,24.0
allenai/WildChat-nontoxic,,401,,,
PatronusAI/financebench,True,200,False,,1.0
liminghao1630/API-Bank,True,200,False,,0.0
musab-mk/lmsys-chat-1m_deduped,True,200,False,,3.0
ise-uiuc/Magicoder-OSS-Instruct-75K,True,200,False,,1.0
ise-uiuc/Magicoder-Evol-Instruct-110K,True,200,False,,1.0
tum-nlp/span-similarity-dataset,True,200,False,,2.0
QuixiAI/dolphin-coder,True,200,False,,1.0
pixparse/cc3m-wds,True,200,True,,13.0
